ID	Status	State	Category	Question	A	B	C	D	Answer
9	Untested	Andhra Pradesh	Literature	Tenali Ramakrishna, the witty jester poet of the Vijayanagara emperor, Krishnadevaraya, hails from this district of Andhra Pradesh:	Krishna 	Guntur	Kurnool	Vijayanagaram	B
									
									
1	Untested	Goa	Literature	In the Indian literary world, Goa played a very important role. What was the event that forwarded the cause of Indian book publication?	The first printing press in India	The first Indian novel was written here	First translation of the Bible to Indian Languages	Site of publication of Indian freedom movement literature	A
2	Untested	Goa	Wild	Goa has the distinction of being the -	Most recently formed state in India	Richest state in India	First French Colony in India	First Portuguese Colony in India	B
3	Untested	Goa	Politics & Activism	What are the two official languages in Goa?	Goa konkani and Marathi	Goa konkani and Portuguese 	Marathi and Portuguese 	Goa konkani and Kannada	A
4	Untested	Goa	Movies & Music	Amitabh Bachchan's character in Amar Akbar and Anthony was inspired by this Goan musical composer:	Anthony Joshua	Anthony Fernandes	Anthony de Souza	Anthony Gonsalves	D
5	Untested	Goa	Food	An Indian curry dish popular in the region of Goa, the surrounding Konkan region, this gets its name from the Portuguese words for wine and garlic: 	Vindaloo	Jalfrezi	Do Pyaza	Korma	A
6	Untested	Goa	Clothes & Jewelry	Goa's fashion history reflects its cultural fabric- Portuguese structure with Indian roots. This dress is a perfect example, the lower garment is sarong or lungi that existed in Dravidian culture, the blouse is adapted from the Portuguese loose upper garment. What is this dress called? 	Valkal	Pano Bhaju	Lehenga	Nivi	B
7	Untested	Goa	Architecture & Artwork	This famous artist's cartoons present beautiful vignettes of Goan village life. His other creations, such as Miss Nimbupani and Miss Fonseca, appeared on a regular basis in Economic Times, and The Illustrated Weekly of India. Name the artist.	Mario Miranda	Jean-Jacques Sempé	Anthony Gonsalves	Eustace Fernandes	A
8	Untested	Goa	Wild	Goa is famous for having the first of this kind of institution in the country:	Court house	Bar	Medical College	Beachside resort	C
9	Untested	Goa	Food	Which of these popular Mumbai street fare was introduced in Goa by the Portuguese?	Pani Puri	Bun Maska	Pav	Chicken tikka roll	C
									
									
									
									
1	Untested	Telangana	Architecture & Artwork	Which of the following museums houses the largest one-man collection of antiques in the world?	Salar Jung Museum	Chhatrapati Shivaji Maharaj Vastu Sangrahalaya	Nizam Museum	Jehangir Art Gallery	A
2	Untested	Telangana	Politics & Activism	Which sports woman was made the brand ambassador for the newly formed state of Telangana?	Karnam Malleswari	Sania Mirza	PV Sindhu	Sindhuja Reddy	B
3	Untested	Telangana	Clothes & Jewelry	Which of these handcrafted woven sari is the mosaic of cotton body with silk pallu?	Gadwal	Pochampally	Ikat	Kanjeevaram	A
4	Untested	Telangana	Food	Owing to its cultural significance and popularity, this Hyderabadi speciality was granted Geographical Indication Status (GIS) by the Indian GIS registry, making it the first non-vegetarian dish in India to get this status.	Hyderabadi Biryani 	Hyderabadi haleem	Hyderabadi Firni	Hyderabadi Burfi	B
5	Untested	Telangana	Literature	Who was the Telugu poet who translated the Bhagavata Purana from Sanskrit to Telugu?	Pothana	Kalidasa	Ramadasa	Tenali RamaKrishna	A
6	Untested	Telangana	Movies & Music	The 2015 movie Rudhrama Devi is based on the life of the warrior queen of the same name. She belonged to which of these ruling dynasties?	Reddy	Pallava	Kakatiya	Vijayanagara	C
7	Untested	Telangana	Nature & Geography	The Manjira wildlife sanctuary is home to more than 70 species of birds and the the vulnerable species of mugger crocodile. In which district of Telangana is it located?	Adilabad	Mahbubnagar	Nalgonda	Medak	D
8	Untested	Telangana	Wild	When was the state of Telangana formed?	02 June 2014	02 June 2015	02 November 2014	15 June 2014	A
									
									
									
									
1	Untested	Karnataka	Movies & Music	Who is considered as the father of Carnatic music?	Tyagaraja	Purandara Dasa	Annamacharya	Basavanna	B
2	Untested	Karnataka	Literature	Likely to be the work of several authors over centuries, who is mainly credited as the author of Arthashastra (the ancient Indian treatise on statecraft, economic policy and military strategy)?	 Kautilya	Vikramaditya	Chandragupta Maurya 	Kalidasa	A
3	Untested	Karnataka	Politics & Activism	Who was the first Indian female Ruler to lead an armed rebellion against the British rule?	Rani Chennamma	Rani Lakshmi Bai	Chand bibi	Rudrama Devi	A
4	Untested	Karnataka	Wild	Born in a Marathi family in Indore, Madhya Pradesh, this cricketer and former national team captain grew up in Bengaluru. He is widely regarded as one of the greatest batsmen in the history of cricket. Name the sportsman.	VVS Laxman	Sunil Gavaskar	Anil Kumble	Rahul Dravid	D
5	Untested	Karnataka	Clothes & Jewelry	This form of metal handicraft was developed in the 14th century C.E. during the rule of the Bahamani Sultans.The metal used is a blackened alloy of zinc and copper inlaid with thin sheets of pure silver. Name the art form.	Nirmala painting	Bidriware	Meenakari	Maniratni	B
6	Untested	Karnataka	Architecture & Artwork	The Cartoonist Anant Pai is famous for creating the comic book series of - 	Chacha Chaudhary	Chandamama	Amar Chitra Katha 	Champak comics	C
7	Untested	Karnataka	Food	The Sufi saint Baba Budan is believed to have introduced this plant in India. He brought back the seeds from Yemen while returning from Haj. These plants grown on the slopes of the Chandragiri Hills in Kadur district of Mysore bear his name:	Tea	Cashew	Coffee	Cardamom	C
8	Untested	Karnataka	Architecture & Artwork	The famous cartoonist RK Laxman once said this about his iconic character ' The bespectacled ______ , in his checked coat had walked into my cartoon spontaneously, as if I had no hand in his creation.' Fill in the blank.	Ordinary man	Aam aadmi	Common man	The bystander	C
