ID	Status	State	Category	Question	A	B	C	D	Answer	comments
1	Untested	Lakshadweep	Politics & Activism	Lakshadweep comes under the jurisdiction of which state high court in India?  	Kerala	Karnataka	Tamil Nadu	Goa	A	
2	Untested	Lakshadweep	Wild	How many coral islands form the Lakshadweep union territory?	35	28	40	36	D	
3	Untested	Lakshadweep	Nature & Geography	What is the capital of Lakshadweep?	Amini	Kavaratti	Bitra	Cora Divh	B	
4	Untested	Lakshadweep	Nature & Geography	What is the largest city in Lakshadweep?	Amini	Kavaratti	Andrott	Bitra	C	
5	Untested	Lakshadweep	Nature & Geography	What natural history feature does Lakshadweep have?	absence of venomous snakes	absence of rats	absence of cats	absence of cows	A	
6	Untested	Lakshadweep	Wild	What is the only commercial crop of the Lakshadweep Islands?	Rice	Jute	Coconut	Cotton	C	
										
										
1	Untested	Puducherry	Wild	Puducherry is formed out of four exclaves of former French India. One of them is Yanam. What is the state that surrounds this district? 	Andhra Pradesh 	Tamil Nadu	Kerala	Karnataka	A	
2	Untested	Puducherry	Politics & Activism	After which philosopher was the International Study Centre and Township in Puducherry named?	Sri Aurobindo	Swami Vivekananda	Swami Dayananda	Raja Ram Mohan Roy	A	
3	Untested	Puducherry	Nature & Geography	Puducherry was a French colony but prior to the French another European county tried to colonize it. Which country was it?	England	Portugal	The Netherlands	Denmark	C	
4	Untested	Puducherry	Nature & Geography	Puducherry lies in the drainage basin of which river?	Kaveri	Godavari 	Gingee	Nagavalli	C	
5	Untested	Puducherry	Nature & Geography	Puducherry is unique among all the union territories politically by -	Having its own legislature	Having its own High Court	Having independent tax laws	Having no Panchayat system	A	
6	Untested	Puducherry	Nature & Geography	What is the main and only big lake situated in Puducherry?	Kalyana	Oustery	Chilka	Anuj	B	
										
										
										
										
1	Untested	Dadra and Nagar Haveli	Wild	In 1961, K.G. Badlani was Prime Minister of Dadra and Nagar Haveli for just one day. Why did he lose his position?	He died of a heart attack.	He was ousted by the United Front of Goans.	He was temporarily filling the position for somone else.	He signed an agreement that the land become part of India.	D	
2	Untested	Dadra and Nagar Haveli	Nature & Geography	Dadra and Nagar Haveli is composed of two separate geographical entities. Which two Indian states are they located in?	Maharashtra and Goa	Maharashtra and Gujarat	Gujarat and Madhya Pradesh	Gujarat and Goa	B	
3	Untested	Dadra and Nagar Haveli	Nature & Geography	Dadra and Nagar Haveli is located in the middle of the watershed of which river?	Ganga	Narmada	Daman Ganga 	Tapi	C	
4	Untested	Dadra and Nagar Haveli	Nature & Geography	Nagar Haveli has small enclave village that belongs to Gujarat. Name that village.	Maghval	Anand	Kisol	Mandwa	A	
5	Untested	Dadra and Nagar Haveli	Movies & Music	The Hindi movie "Phool Aur Kaante"  which featured the debut performances of  Ajay Devgan and Madhoobala Raghunath (of Roja fame) was shot in this city:	Amli	Vapi	Naroli	Silvassa	D	
6	Untested	Dadra and Nagar Haveli	Nature & Geography	What is the name of the famous lake gardens in Dadra?	Vanganga	Nutan	Nirmal	Mrinal	A	
