ID	Status	State	Category	Question	A	B	C	D	Answer
5	Untested	Sikkim	Clothes & Jewelry	The men of this community wear a Pagri made of striped cotton cloth:	Khasi	Mizo	Nepali	Lepcha	D
6	Untested	Sikkim	Literature	What is the name of the book written by Andrew Duff that talks about the political events leading to the referendum in 1975 joining Sikkim to India as its 22nd state?	Sikkim: Requiem for a Himalayan Kingdom	Smash and Grab: Annexation of Sikkim	Himalayan Village: An Account of the Lepchas of Sikkim	Land Where I Flee	A
7	Untested	Sikkim	Food	What is the name of the noodle soup of Tibetan origin that has found its way to being one of the most loved food in Sikkim? 	Momo	Rasam	Thukpa	Gundruk	C
8	Untested	Sikkim	Nature & Geography	The Nathu La pass, a part of the ancient silk road, connects Sikkim with which country?	China	Bhutan	Nepal	Bangladesh	A
									
									
									
									
1	Untested	Mizoram	Clothes & Jewelry	Mizo women wear this beautiful headgear made of cane, flowers and beads while performing the traditional Cheraw dance:	Thihna	Kawrchei	Vakiria	Puan	C
2	Untested	Mizoram	Architecture & Artwork	The traditional Mizo dance using two crossed pairs of bamboo staves is called:	Tinikling	Cheraw	Bihu	Hajgiri	B
3	Untested	Mizoram	Politics & Activism	The Mizo accord was signed to stop the protests against the Central government negligence and indifference with regards to the severe famine, Mautam. When was it signed? 	June 30, 1986	July 30, 1986	February 20, 1987	November 1, 1987	A
4	Untested	Mizoram	Literature	What was the pen name of the famous Mizo poet whose work was so well loved that littérateurs compiled and recorded his poetry which was initially not in the written form?	Awithangpa	V. Thangzama	Laltanpuia	Vankhama	A
5	Untested	Mizoram	Movies & Music	What is the name of the percussion instrument indigenous to the Mizo people, that is made from a hollow tree wrapped on both sides with animal skin?	Bengbung	Darbu	Dar	Khuang	D
6	Untested	Mizoram 	Food	Koat Pitha is an ideal tea time snack for Mizos. It is made of rice flour and -	Coconut	Banana	Raw Mango	Lotus stems	B
7	Untested	Mizoram 	Nature & Geography	The Mizo Hills District was formerly known as?	Lupta	Khasi	Lushai	Garo	C
8	Untested	Mizoram 	Clothes & Jewelry	The women of Mizoram wear a simple wrap-around skirt with a few colors and geometric motifs. This skirt is called -	Puanchei	Paithani	Lugade	Jamdani	A
									
									
									
1	Untested	Meghalaya	Architecture & Artwork	In which Meghalayan town would one find the longest known example of a living root bridge?	Cherrapunji	Rangthylliang	Mawlynnong	Pynursla	D
2	Untested	Meghalaya	Food	Rich in nutrient value, this ingredient is a favourite of the Garos and is prepared in different ways, including pickling:	Lotus stems	Raw mango	Bamboo shoots	Coconut	C
3	Untested	Meghalaya	Clothes & Jewelry	What is the name of the saree like, unstitched garment made from locally grown Mulberry silk?	Sarong	Jainsen	Chera	Patti	B
4	Untested	Meghalaya	Movies & Music	Who is the legendary Khasi folk singer from Meghalaya whose poetry invokes a feeling of getting closer to nature and gives voice to the sacred grooves of Mawphlang?	Bah Kerios Wahlang	Nitum Romesh	Arbin Soibam	 Aphao	A
5	Untested	Meghalaya	Literature	Set in and around Meghalaya, Janice Pariat's debut collection of short stories earned the author the distinction of being the first writer from Meghalaya to receive an award from the Sahitya Akademi for a work in English. Name the collection.	Boats on Land	The Waterfall	Stories of War	Tree Houses	A
6	Untested	Meghalaya	Politics & Activism	What is the official language of Meghalaya?	Khasi	Garo	English	Hajong	C
7	Untested	Meghalaya	Nature & Geography	Which place in Meghalaya was dubbed the 'Scotland of the East'?	Williamnagar	Cherrapunji	Shillong	Tura	C
8	Untested	Meghalaya	Nature & Geography	Name the highest peak in Meghalaya, which is also an IAF station.	Nokrek Peak	Shillong Peak	Nongstoin Peak	Jowai	B
9	Untested	Meghalaya	Nature & Geography	Which of the following is the state animal of Meghalaya?	Red Panda	Snow Leopard	Clouded leopard	Spotted Leopard	C
10	Untested	Meghalaya	Nature & Geography	Meghalaya has the distinction of being the home to the top 2 wettest places on earth. One is Cherrapunji, name the other.	Rangthylliang	Mawlynnong	Pynursla	Mawsynram	D
									
									
									
									
1	Untested	Arunachal Pradesh	Politics & Activism	According to the Shimla Accord, what line separates Arunachal Pradesh and Tibet? 	McMahon Line	Durand Line	Curzon Line	Maginot Line	A
2	Untested	Arunachal Pradesh	Nature & Geography	Which of the following countries does not share a border with Arunachal Pradesh? 	Bhutan	Nepal	China	Myanmar	B
3	Untested	Arunachal Pradesh	Movies & Music	The traditional folk dance of Aji Lamu is performed by which tribe?	Monpa	Nishing	Apatani	Adi	A
4	Untested	Arunachal Pradesh	Literature	Stuart Blackburn's book on the Apatani tribe of Arunachal Pradesh during Colonial British India won the MM Bennetts Award for Historical Fiction 2016 in the UK. Name the book.	Necropolis	Valley of Fear	Into the Hidden Valley	The Orchid	C
5	Untested	Arunachal Pradesh	Clothes & Jewelry	What is the name of the traditional skull-cap that is decorated with Yak hair?	Mushaiks	Topi	Gurdam	Adi	C
6	Untested	Arunachal Pradesh	Food	What is the name of the light rice beer brewed in Arunachal Pradesh?	Bhang	Kallu	Tandi	Apong	D
7	Untested	Arunachal Pradesh	Architecture & Artwork	The Tangsa tribe in Arunachal Pradesh build their houses on stilts and with a hearth in every room to keep warm. What are these houses called? 	Chang Ghors	Cabana 	Orri 	Oca	A
8	Untested	Arunachal Pradesh	Wild	Dungyur and Torgya festivals are celebrated with traditional gaiety in this monastery 	Tawang	Bomdila	Potala	Gompa	A
9	Untested	Arunachal Pradesh	Wild	Which of the following phrases is not used to describe Arunachal Pradesh?	Orchid State of India	Land of the Dawn-Lit Mountains 	Paradise of the Botanists	The abode of clouds 	D
